Ahuyama,Arveja verde en vaina,Cebolla cabezona blanca,Cebolla junca,Chocolo mazorca,Fríjol verde*,Habichuela,Lechuga batavia,Pepino cohombro,Pimentón,Remolacha,Zanahoria,Aguacate *,Banano*,Granadilla,Guayaba*,Limón común,Limón Tahití,Lulo,Mandarina*,Mango tommy,Manzana royal gala,Maracuyá,Mora de Castilla,Naranja*,Papaya maradol,Piña *,Tomate de árbol,Arracacha*,Plátano hartón verde
594.0,3500.0,500.0,833.0,1150.0,3000.0,2400.0,1500.0,1160.0,2619.0,967.0,1108.0,2750.0,1375.0,4167.0,1500.0,985.0,985.0,2717.0,1439.0,1477.0,5132.0,1500.0,700.0,700.0,1148.0,689.0,2174.0,1900.0,1900.0
578.0,3050.0,460.0,867.0,1000.0,2800.0,2000.0,1500.0,1147.0,2560.0,1000.0,1333.0,2583.0,1375.0,4500.0,1450.0,1023.0,1023.0,2826.0,1477.0,1500.0,1500.0,1500.0,3500.0,850.0,1111.0,667.0,2304.0,1950.0,1950.0
594.0,3420.0,400.0,900.0,1050.0,2800.0,2000.0,1600.0,1040.0,2679.0,1150.0,1208.0,2567.0,1400.0,4000.0,1350.0,1120.0,909.0,2826.0,1364.0,1515.0,1450.0,1450.0,3200.0,933.0,1167.0,700.0,2174.0,1425.0,1883.0
609.0,3480.0,380.0,883.0,1150.0,2893.0,2000.0,1933.0,1100.0,2262.0,1300.0,1183.0,2600.0,1400.0,4167.0,1133.0,1008.0,727.0,3043.0,1439.0,1477.0,4474.0,1450.0,750.0,750.0,1000.0,667.0,2370.0,1583.0,1825.0
609,3600,410,800,1200,2500,1587,1750,1000,1905,1200,1358,2767,1350,4500,1200,1000,864,2761,1477,1485,4868,1467,3500,750,972,717,2370,1500,1883
609.0,3400.0,450.0,783.0,1200.0,2200.0,1700.0,1900.0,920.0,1300.0,1300.0,1500.0,2750.0,1367.0,4500.0,1100.0,909.0,909.0,2935.0,1591.0,1477.0,5132.0,1367.0,3500.0,700.0,1000.0,733.0,2275.0,1500.0,1875.0
625.0,3600.0,433.0,833.0,1150.0,2500.0,1733.0,1867.0,893.0,2762.0,1200.0,1944.0,2633.0,1350.0,4500.0,1000.0,909.0,909.0,2500.0,1439.0,1182.0,4474.0,1633.0,3250.0,850.0,1037.0,767.0,2500.0,1417.0,1750.0
625.0,3200.0,400.0,822.0,1133.0,1667.0,1800.0,1867.0,827.0,2190.0,1050.0,1750.0,2942.0,1100.0,4444.0,867.0,939.0,939.0,2681.0,1545.0,1159.0,4737.0,1500.0,3250.0,833.0,1037.0,706.0,2536.0,1583.0,1750.0
594.0,3000.0,507.0,833.0,1067.0,1733.0,1733.0,1867.0,987.0,2190.0,1067.0,1736.0,2800.0,1275.0,5222.0,967.0,939.0,939.0,2681.0,1667.0,1152.0,4868.0,1433.0,787.0,787.0,1037.0,689.0,2681.0,1667.0,1750.0
583.0,3033.0,500.0,822.0,1033.0,1767.0,1800.0,1867.0,973.0,2190.0,1100.0,1722.0,2800.0,1267.0,5222.0,767.0,909.0,909.0,2681.0,1667.0,1545.0,4825.0,1467.0,800.0,800.0,1111.0,667.0,2609.0,1667.0,1750.0
563.0,3367.0,500.0,833.0,1167.0,2167.0,2400.0,1800.0,960.0,2143.0,1133.0,1667.0,2767.0,1283.0,5333.0,800.0,924.0,924.0,2609.0,1667.0,1591.0,4737.0,1533.0,3500.0,813.0,1130.0,689.0,2609.0,1472.0,1750.0
573.0,3333.0,513.0,667.0,1167.0,2133.0,2400.0,1767.0,973.0,2190.0,1567.0,1472.0,2733.0,1267.0,5222.0,800.0,909.0,909.0,2609.0,1636.0,1591.0,4737.0,2433.0,3500.0,800.0,1148.0,667.0,2638.0,1500.0,1750.0
563.0,3267.0,500.0,500.0,1200.0,2000.0,2400.0,2233.0,960.0,2143.0,1600.0,1500.0,2700.0,1250.0,5111.0,833.0,909.0,909.0,2681.0,1591.0,1818.0,4649.0,2500.0,800.0,800.0,1167.0,678.0,2609.0,1542.0,1783.0
563.0,3367.0,700.0,500.0,1200.0,2000.0,1933.0,2200.0,920.0,2143.0,1567.0,1458.0,2633.0,1283.0,5000.0,1167.0,909.0,909.0,2609.0,1591.0,1818.0,4211.0,2500.0,3500.0,800.0,1185.0,711.0,2609.0,1500.0,1750.0
563.0,3167.0,700.0,500.0,1200.0,1967.0,2000.0,1500.0,920.0,2143.0,1533.0,1417.0,2500.0,1300.0,5000.0,1100.0,909.0,909.0,2609.0,1591.0,1818.0,4211.0,2467.0,3500.0,1033.0,1167.0,700.0,2609.0,1500.0,1750.0
563.0,3233.0,667.0,500.0,1267.0,2033.0,2067.0,1533.0,947.0,2143.0,1567.0,1458.0,2467.0,1267.0,5000.0,1067.0,939.0,939.0,2681.0,1591.0,2030.0,4386.0,2433.0,3500.0,1233.0,1426.0,700.0,2609.0,1528.0,1750.0
583.0,3367.0,660.0,517.0,1250.0,2067.0,1760.0,1867.0,900.0,1452.0,1500.0,1167.0,2450.0,1525.0,5167.0,1650.0,932.0,932.0,2652.0,1568.0,2061.0,4439.0,2533.0,3450.0,1233.0,1389.0,683.0,2609.0,1542.0,1550.0
615.0,3300.0,613.0,533.0,1167.0,2100.0,1733.0,1900.0,960.0,1524.0,1450.0,972.0,2467.0,1450.0,5000.0,1550.0,924.0,924.0,2565.0,1545.0,2197.0,4561.0,2333.0,1247.0,1247.0,1444.0,717.0,2500.0,1306.0,1567.0
646.0,3333.0,767.0,522.0,1133.0,2067.0,1733.0,2000.0,987.0,1571.0,1450.0,958.0,2550.0,1367.0,5111.0,1533.0,939.0,939.0,2681.0,1561.0,2803.0,4211.0,2150.0,3600.0,1250.0,1426.0,700.0,2464.0,1361.0,1500.0
641.0,3300.0,800.0,533.0,1133.0,2100.0,2100.0,1967.0,987.0,1095.0,1833.0,875.0,2600.0,1350.0,5178.0,1500.0,932.0,932.0,2717.0,1561.0,2727.0,4088.0,2067.0,3450.0,1247.0,1426.0,700.0,2014.0,1375.0,1467.0
635.0,3300.0,587.0,525.0,1167.0,2100.0,2667.0,1425.0,947.0,1750.0,1333.0,872.0,2567.0,1338.0,4956.0,1425.0,939.0,939.0,2681.0,1652.0,2879.0,4333.0,2100.0,3400.0,1250.0,1611.0,711.0,2145.0,1392.0,1500.0
656.0,3275.0,600.0,689.0,1167.0,2067.0,2533.0,1033.0,920.0,1690.0,1367.0,894.0,3033.0,1350.0,4867.0,1475.0,955.0,955.0,2710.0,1606.0,3045.0,4368.0,2100.0,3450.0,1233.0,1630.0,722.0,2203.0,1917.0,1533.0
667.0,2875.0,575.0,500.0,1167.0,2067.0,2700.0,1067.0,910.0,1714.0,1150.0,911.0,2967.0,1367.0,4111.0,1467.0,939.0,939.0,2710.0,1591.0,3152.0,4509.0,2200.0,3200.0,1167.0,1630.0,956.0,2290.0,1833.0,1667.0
635.0,3000.0,613.0,492.0,1133.0,2067.0,2587.0,1133.0,893.0,1690.0,1133.0,894.0,2967.0,1350.0,4200.0,1167.0,496.0,1121.0,2638.0,1606.0,4456.0,4456.0,2300.0,1073.0,1073.0,1630.0,967.0,2333.0,1306.0,1717.0
646.0,3087.0,635.0,483.0,1167.0,2133.0,2547.0,1133.0,840.0,1714.0,1153.0,628.0,2900.0,1367.0,4156.0,1150.0,501.0,1102.0,2710.0,1545.0,4368.0,4368.0,2275.0,3450.0,1047.0,1704.0,922.0,2728.0,1333.0,1717.0
646,3200,660,489,1153,2267,2480,1167,813,1714,1167,656,2867,1350,4311,1133,501,1091,2754,1561,3773,4333,2333,3400,1000,1704,922,2638,1372,1750
641,3300,680,500,1127,2233,2493,1200,830,1762,1127,511,2933,1350,4444,1067,528,1068,2768,1545,3841,4382,2250,3300,1040,1741,922,2681,1367,1767
625,3367,680,500,1147,2100,2533,1233,827,1732,1040,544,2867,1333,4400,1033,560,1091,2783,1576,3750,4404,2133,2700,1033,1741,1100,2725,1083,1800
625.0,3475.0,680.0,511.0,1193.0,2033.0,1930.0,1300.0,600.0,1357.0,1073.0,572.0,2925.0,1350.0,4444.0,1000.0,1091.0,1091.0,2768.0,1625.0,4333.0,4333.0,2075.0,2600.0,1040.0,1708.0,1078.0,2739.0,1128.0,1767.0
635,3300,910,500,1187,2075,1867,1300,570,1411,1040,578,2900,1350,4444,1050,560,1102,2696,1636,3924,4553,2033,2767,1000,2056,1056,2696,1111,1750
656.0,3353.0,920.0,525.0,1220.0,2100.0,1867.0,1325.0,560.0,1357.0,1040.0,583.0,2967.0,1317.0,4417.0,1075.0,597.0,1364.0,2768.0,1652.0,4491.0,4491.0,2075.0,2867.0,1040.0,2093.0,1033.0,2710.0,1111.0,1800.0
617.0,3265.0,905.0,542.0,950.0,2033.0,1813.0,1375.0,573.0,1268.0,840.0,583.0,2967.0,1350.0,4244.0,1067.0,613.0,1284.0,2710.0,1682.0,4526.0,4526.0,2100.0,2300.0,1033.0,2125.0,1033.0,2707.0,1128.0,1767.0
656,3315,967,533,927,2100,1650,1350,627,1333,1153,594,2967,1188,4267,1100,619,1216,2739,1636,4697,4561,2100,2400,1073,2125,1033,2609,1106,1800
781.0,3300.0,950.0,556.0,953.0,2033.0,1760.0,1275.0,613.0,1375.0,1150.0,617.0,3000.0,1250.0,3689.0,1100.0,640.0,1227.0,2696.0,1606.0,4614.0,4614.0,2075.0,2467.0,1073.0,2167.0,1042.0,2609.0,1128.0,1800.0
813.0,2325.0,975.0,700.0,2100.0,2100.0,1710.0,1025.0,610.0,1393.0,1060.0,656.0,3133.0,1250.0,3700.0,1050.0,645.0,1303.0,2707.0,1591.0,4645.0,4645.0,2100.0,2500.0,1033.0,2056.0,1056.0,2609.0,1583.0,1817.0
781.0,2400.0,1000.0,642.0,2125.0,2125.0,1720.0,1100.0,800.0,1357.0,813.0,639.0,3467.0,1325.0,3733.0,1033.0,667.0,1352.0,2739.0,1591.0,4614.0,4614.0,2250.0,2467.0,1020.0,2130.0,1056.0,2536.0,1539.0,1850.0
771.0,2475.0,1020.0,633.0,2125.0,2125.0,1360.0,1033.0,770.0,1429.0,813.0,528.0,3433.0,1300.0,3711.0,1033.0,693.0,1352.0,2696.0,1606.0,4592.0,4592.0,2167.0,2400.0,987.0,2037.0,1056.0,2246.0,1542.0,1850.0
750.0,2500.0,955.0,600.0,2033.0,2033.0,1413.0,1050.0,750.0,1452.0,793.0,550.0,3367.0,1300.0,3867.0,1025.0,699.0,1364.0,2707.0,1648.0,4649.0,4649.0,2100.0,2033.0,967.0,2014.0,1044.0,2337.0,1488.0,1800.0
740.0,2633.0,940.0,600.0,2125.0,2125.0,1710.0,1075.0,747.0,1482.0,767.0,571.0,3367.0,1350.0,4033.0,725.0,704.0,1409.0,2681.0,1712.0,4860.0,4860.0,2100.0,2100.0,940.0,1611.0,1033.0,2333.0,1206.0,1817.0
742.0,2500.0,1000.0,600.0,2125.0,2125.0,1760.0,1050.0,747.0,1524.0,765.0,571.0,3400.0,1333.0,4083.0,750.0,715.0,1420.0,2362.0,1712.0,4930.0,4930.0,2200.0,2133.0,885.0,1630.0,1033.0,2377.0,1263.0,1788.0
698.0,2600.0,950.0,575.0,2167.0,2167.0,1733.0,1100.0,770.0,1482.0,567.0,567.0,3333.0,1338.0,3889.0,733.0,731.0,1742.0,2319.0,1682.0,4737.0,4737.0,2467.0,2100.0,925.0,1593.0,983.0,2304.0,1192.0,1850.0
672.0,2100.0,925.0,589.0,2075.0,2075.0,1730.0,1067.0,800.0,1500.0,540.0,561.0,3367.0,1333.0,3167.0,750.0,699.0,1985.0,2391.0,1648.0,4737.0,4737.0,2425.0,2567.0,910.0,1583.0,944.0,2333.0,1222.0,1867.0
667.0,2125.0,965.0,567.0,2133.0,2133.0,1707.0,1067.0,787.0,1500.0,520.0,563.0,3467.0,1317.0,3089.0,767.0,736.0,2121.0,2420.0,1621.0,4825.0,4825.0,2475.0,2567.0,907.0,1574.0,922.0,2348.0,1206.0,1850.0
672.0,3050.0,915.0,558.0,2233.0,2233.0,1667.0,1100.0,760.0,1375.0,507.0,567.0,3467.0,1313.0,3111.0,767.0,693.0,2148.0,2391.0,1636.0,4776.0,4776.0,2575.0,2467.0,860.0,1528.0,867.0,2681.0,1167.0,1800.0
656.0,3000.0,1190.0,589.0,2275.0,2275.0,1680.0,1150.0,760.0,1143.0,533.0,971.0,3433.0,1350.0,2900.0,750.0,672.0,1966.0,2446.0,1621.0,3333.0,4614.0,2575.0,2533.0,900.0,1514.0,858.0,2609.0,1128.0,1788.0
672.0,2925.0,1245.0,567.0,2300.0,2300.0,1333.0,1100.0,750.0,1143.0,553.0,950.0,3433.0,1338.0,2917.0,767.0,699.0,1932.0,2507.0,1682.0,3318.0,4596.0,2467.0,2467.0,873.0,1514.0,858.0,2609.0,1106.0,1825.0
635.0,2300.0,1250.0,558.0,2233.0,2233.0,1320.0,1050.0,770.0,1125.0,575.0,928.0,3400.0,1317.0,2850.0,833.0,667.0,2091.0,2507.0,1636.0,3182.0,4737.0,3067.0,2400.0,840.0,1319.0,900.0,2507.0,1128.0,1775.0
646.0,2300.0,1275.0,567.0,2067.0,2067.0,1507.0,1250.0,800.0,1125.0,600.0,729.0,3400.0,1300.0,2889.0,900.0,693.0,2375.0,2467.0,1652.0,3076.0,4737.0,3167.0,2333.0,833.0,1352.0,867.0,2464.0,1372.0,1783.0
656.0,1875.0,1300.0,558.0,2067.0,2067.0,1547.0,1200.0,787.0,1125.0,613.0,728.0,3433.0,1313.0,2889.0,933.0,709.0,2386.0,2507.0,1667.0,3182.0,4772.0,3067.0,2033.0,853.0,1333.0,875.0,2500.0,1383.0,1783.0
698.0,1967.0,1335.0,522.0,2100.0,2100.0,1333.0,1200.0,760.0,1143.0,733.0,729.0,3467.0,1300.0,2889.0,950.0,699.0,2386.0,2609.0,1667.0,3258.0,4737.0,3000.0,2133.0,875.0,1315.0,858.0,2507.0,1389.0,1800.0
680.0,2025.0,1340.0,533.0,2233.0,2233.0,1387.0,1233.0,750.0,1214.0,767.0,728.0,3500.0,1300.0,2933.0,1233.0,704.0,2424.0,2710.0,1648.0,1924.0,4860.0,2975.0,2233.0,893.0,1347.0,858.0,2493.0,1317.0,1800.0
688.0,2100.0,1355.0,525.0,2267.0,2267.0,1410.0,1167.0,730.0,1286.0,767.0,750.0,3900.0,1333.0,2933.0,1200.0,693.0,2420.0,2717.0,1606.0,1909.0,4763.0,3033.0,2733.0,885.0,1389.0,844.0,2500.0,1321.0,1767.0
719.0,2033.0,1050.0,522.0,2233.0,2233.0,1467.0,1233.0,750.0,1286.0,800.0,728.0,3950.0,1317.0,2933.0,1150.0,660.0,2379.0,2754.0,1606.0,1909.0,4803.0,3100.0,2650.0,853.0,1347.0,844.0,2391.0,1372.0,1800.0
729.0,2400.0,1115.0,533.0,2233.0,2233.0,1750.0,1267.0,750.0,1679.0,600.0,722.0,4100.0,1313.0,2933.0,1450.0,693.0,2348.0,2841.0,1591.0,1818.0,4860.0,3000.0,2700.0,850.0,1370.0,858.0,2377.0,1113.0,1800.0
708.0,2333.0,1075.0,542.0,2233.0,2233.0,1733.0,1200.0,770.0,1714.0,587.0,556.0,4100.0,1300.0,2917.0,1425.0,688.0,2443.0,2841.0,1515.0,1818.0,4803.0,3000.0,2700.0,675.0,1347.0,867.0,2337.0,1083.0,1788.0
698.0,2200.0,1110.0,533.0,2233.0,2233.0,1770.0,1233.0,760.0,1339.0,600.0,572.0,4100.0,1313.0,3022.0,1400.0,2386.0,2386.0,2768.0,1515.0,1875.0,4763.0,2900.0,2833.0,655.0,1370.0,867.0,2761.0,1075.0,1763.0
719.0,2233.0,940.0,542.0,2075.0,2075.0,1733.0,900.0,747.0,1339.0,565.0,625.0,4100.0,1250.0,3067.0,1400.0,2000.0,2000.0,2761.0,1557.0,1742.0,4895.0,2350.0,2767.0,600.0,1333.0,867.0,2609.0,833.0,1788.0
708.0,2200.0,925.0,533.0,2033.0,2033.0,1710.0,967.0,590.0,1375.0,565.0,604.0,4033.0,1250.0,2911.0,1400.0,1898.0,1898.0,2717.0,1515.0,1818.0,4860.0,2325.0,2733.0,613.0,1347.0,833.0,2228.0,872.0,1788.0
688.0,2275.0,965.0,525.0,2200.0,2200.0,1660.0,1000.0,613.0,1411.0,465.0,625.0,4100.0,1275.0,2917.0,1350.0,651.0,2011.0,2717.0,1500.0,1697.0,4855.0,2400.0,2667.0,613.0,1370.0,833.0,1804.0,900.0,1783.0
742.0,2925.0,1000.0,525.0,2125.0,2125.0,1427.0,1033.0,790.0,1429.0,500.0,639.0,4050.0,1325.0,2933.0,1250.0,699.0,2068.0,2609.0,1136.0,1712.0,4912.0,2350.0,2767.0,633.0,1403.0,889.0,1681.0,892.0,1763.0
750.0,2867.0,1050.0,525.0,2167.0,2167.0,1467.0,1133.0,800.0,1476.0,533.0,625.0,4125.0,1300.0,2933.0,1025.0,699.0,2136.0,2710.0,1170.0,1705.0,4829.0,2367.0,2825.0,633.0,1352.0,900.0,1739.0,894.0,1763.0
719.0,2325.0,1060.0,544.0,2233.0,2233.0,1467.0,1200.0,800.0,1476.0,500.0,611.0,4167.0,1267.0,2900.0,1067.0,693.0,2159.0,3163.0,1227.0,1648.0,4895.0,2300.0,2767.0,653.0,1389.0,892.0,1710.0,872.0,1775.0
698.0,2275.0,1067.0,517.0,2233.0,2233.0,1413.0,1267.0,800.0,1452.0,400.0,594.0,4133.0,1267.0,2778.0,1067.0,667.0,2136.0,3072.0,1258.0,1576.0,4895.0,2233.0,2750.0,647.0,1352.0,878.0,1768.0,879.0,1763.0
688.0,2400.0,1055.0,500.0,2167.0,2167.0,1500.0,1233.0,770.0,1500.0,420.0,639.0,4150.0,1275.0,2750.0,1100.0,667.0,2091.0,3043.0,1227.0,1576.0,4860.0,2200.0,2400.0,633.0,1389.0,911.0,1739.0,1078.0,1763.0
688.0,2750.0,1050.0,533.0,2125.0,2125.0,1453.0,1200.0,787.0,1518.0,407.0,667.0,4033.0,1300.0,2778.0,1100.0,603.0,1670.0,3043.0,1288.0,1614.0,4895.0,2200.0,2400.0,660.0,1333.0,922.0,1812.0,1011.0,1783.0
677.0,2800.0,1000.0,525.0,2167.0,2167.0,1333.0,1167.0,813.0,1500.0,420.0,656.0,4100.0,1317.0,2889.0,1067.0,613.0,1670.0,2609.0,1288.0,1636.0,4855.0,2767.0,2367.0,633.0,1333.0,900.0,1815.0,1050.0,1800.0
688.0,2847.0,1033.0,542.0,2233.0,2233.0,1330.0,1133.0,787.0,1429.0,293.0,678.0,4100.0,1317.0,2933.0,1050.0,1648.0,1648.0,2638.0,1303.0,1625.0,4895.0,2700.0,2733.0,635.0,1333.0,922.0,1739.0,1039.0,1763.0
698.0,2775.0,825.0,689.0,2167.0,2167.0,1333.0,1133.0,787.0,1452.0,313.0,671.0,4167.0,1300.0,2900.0,1033.0,1682.0,1682.0,2728.0,1227.0,1625.0,4772.0,2700.0,2600.0,633.0,1375.0,944.0,1710.0,1058.0,1750.0
695.0,2725.0,825.0,692.0,1700.0,1700.0,1427.0,1350.0,813.0,1393.0,315.0,646.0,4125.0,1350.0,2950.0,1050.0,1659.0,1659.0,2870.0,1216.0,1515.0,4829.0,2575.0,2075.0,667.0,1389.0,942.0,1667.0,1425.0,1713.0
688.0,2700.0,835.0,700.0,1735.0,1735.0,1720.0,1333.0,813.0,1375.0,315.0,656.0,4167.0,1338.0,2889.0,1033.0,1682.0,1682.0,3196.0,1227.0,1477.0,4807.0,2575.0,2133.0,653.0,1361.0,942.0,1717.0,1389.0,1733.0
646.0,3067.0,865.0,944.0,1867.0,1867.0,1667.0,1200.0,867.0,1429.0,400.0,692.0,4100.0,1450.0,2778.0,1200.0,1591.0,1591.0,3370.0,1136.0,1136.0,4737.0,2300.0,2250.0,1241.0,1241.0,1413.0,1413.0,1292.0,1733.0
667.0,2833.0,933.0,889.0,1900.0,1900.0,1800.0,1133.0,1067.0,1405.0,387.0,683.0,3933.0,1475.0,3111.0,1591.0,1591.0,1591.0,3370.0,1182.0,1136.0,4737.0,2200.0,2233.0,1130.0,1130.0,1056.0,1667.0,1250.0,1717.0
646.0,2467.0,950.0,900.0,1867.0,1867.0,1867.0,1067.0,1093.0,1429.0,425.0,725.0,4125.0,1433.0,3289.0,1485.0,1485.0,1485.0,3333.0,1136.0,1136.0,4825.0,2233.0,1533.0,1000.0,1204.0,1710.0,1710.0,1139.0,1575.0
635.0,2533.0,1187.0,944.0,1900.0,1900.0,1840.0,1100.0,1533.0,1429.0,427.0,722.0,4167.0,1417.0,3222.0,1477.0,1477.0,1477.0,3370.0,894.0,1136.0,4912.0,2250.0,1650.0,650.0,1185.0,1333.0,1609.0,1083.0,1567.0
625.0,2500.0,1100.0,944.0,1867.0,1867.0,1627.0,1100.0,1600.0,1452.0,427.0,711.0,4167.0,1417.0,2222.0,1267.0,1485.0,1485.0,3406.0,909.0,1076.0,4842.0,2333.0,1933.0,653.0,1204.0,1311.0,1638.0,1056.0,1567.0
625.0,2500.0,1050.0,1033.0,1750.0,1750.0,1613.0,1100.0,1600.0,1452.0,427.0,625.0,4250.0,1417.0,1889.0,1267.0,1485.0,1485.0,3420.0,924.0,1136.0,4842.0,2333.0,1900.0,647.0,1204.0,1133.0,1641.0,944.0,1567.0
625.0,2525.0,1200.0,1200.0,1725.0,1725.0,1600.0,1150.0,1590.0,1452.0,420.0,678.0,4250.0,1417.0,1283.0,1283.0,1485.0,1485.0,3478.0,682.0,1136.0,5066.0,2333.0,2067.0,633.0,1204.0,1133.0,1652.0,1125.0,1700.0
625.0,2675.0,1300.0,1217.0,1750.0,1750.0,1533.0,1325.0,1500.0,1554.0,460.0,729.0,4375.0,1450.0,1350.0,1350.0,1061.0,1061.0,3406.0,652.0,1091.0,5197.0,2200.0,2067.0,620.0,1222.0,1117.0,1674.0,1063.0,1700.0
635.0,2967.0,1325.0,1333.0,1725.0,1725.0,1667.0,1433.0,1467.0,1607.0,792.0,792.0,4567.0,1433.0,2444.0,1425.0,985.0,985.0,3406.0,712.0,1121.0,5197.0,2533.0,2100.0,600.0,1278.0,1142.0,1696.0,1111.0,1850.0
656.0,3800.0,1533.0,1944.0,1667.0,1667.0,1507.0,1400.0,1440.0,1595.0,844.0,844.0,4567.0,1467.0,2400.0,1350.0,1515.0,1515.0,3406.0,924.0,1152.0,5175.0,2767.0,2300.0,620.0,1333.0,1117.0,1630.0,1111.0,1675.0
656.0,3400.0,1500.0,1833.0,1700.0,1700.0,1267.0,1533.0,1440.0,1667.0,487.0,844.0,4167.0,1350.0,2556.0,1350.0,1515.0,1515.0,3406.0,879.0,1167.0,5175.0,2700.0,2200.0,833.0,1296.0,1133.0,1594.0,1194.0,1650.0
